X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
-78.702422587508067,35.818179528727605,1106,498654,Korner Cafe Food Court,4420 LAKE BOONE TRL,RALEIGH,NC,27607-7505,35.818172,-78.70242,19197843401
-78.762131735061473,35.76996384554942,1107,498670,Barnes And Noble,760 SE Maynard Road ,CARY,NC,27511,35.769957,-78.762129,19194673866
-78.676053523038846,35.778365253218425,1108,498672,Cup A Joe,2109 AVENT FERRY RD,RALEIGH,NC,27606-2137,35.778358,-78.676051,19198289886
,,1109,498673,THE ROCKFORD,320-1/2 GLENWOOD AVE ,RALEIGH,NC,27603,,,19198219020
-78.770225783776695,35.828867594098895,1110,498674,Burger King #9362,1711 N HARRISON AVE,CARY,NC,27513-2406,35.828861,-78.770223,19196678895
-78.676053523038846,35.778365253218425,1111,498682,Baja Burrito,2109 AVENT FERRY RD ,RALEIGH,NC,27606-2198,35.778358,-78.676051,19198343431
-78.646547192493443,35.778371824946213,1112,498694,Five Star,511 W HARGETT ST ,RALEIGH,NC,27603-1851,35.778365,-78.646545,19198333311
-78.626740325486907,35.820348763584683,1113,498735,BURGER KING #756,340 E SIX FORKS RD ,RALEIGH,NC,27609-7828,35.820342,-78.626738,19198291237
-78.539438180471592,35.982046338836483,1114,498739,BURGER KING #6563,12301 Capital BLVD ,WAKE FOREST,NC,27587-7485,35.982039,-78.539436,19195563585
-78.676053523038846,35.778365253218425,1115,498740,BURGER KING #4521,2241 AVENT FERRY RD ,RALEIGH,NC,27606-2133,35.778358,-78.676051,19198291908
-78.822300030613022,35.743229593078482,1116,498761,Wendy's,1900 LAKE PINE RD ,APEX,NC,27502-6408,35.743223,-78.822297,19193878640
,,1117,498771,Smash Hit Subs,9825-A Chapel Hill Rd,MORRISVILLE,NC,27560,,,19194626373
-78.328324354701721,35.819917931265358,1118,498818,Zebulon BP Grill,603 W GANNON AVE,ZEBULON,NC,27597-2511,35.819911,-78.328322,19192311119
-78.683937917615978,35.792801205664389,1119,498838,Sushi Tsune Of Kyoto,3417 HILLSBOROUGH ST ,RALEIGH,NC,27607-5406,35.792794,-78.683935,19198337768
-78.682489536668925,35.898514147242778,1120,498855,El Dorado #8,8111 CREEDMOOR RD ,RALEIGH,NC,27613-4389,35.898507,-78.682487,19198480788
-78.656961361343534,35.902221115219298,1121,498863,Goodberry's,9700 STRICKLAND RD,RALEIGH,NC,27615-1939,35.902214,-78.656959,19196768580
-78.811932422032285,35.785359052215007,1122,498904,Kroger #342 Deli ,1273 NW MAYNARD RD ,CARY,NC,27513-8726,35.785352,-78.81193,19193809955
-78.509248530690456,35.978893222143192,1123,498953,Las Margaritas,111 S WHITE ST,WAKE FOREST,NC,27587-2739,35.978886,-78.509246,19195568319
-78.540928196843211,35.980908496601309,1124,499079,Hong Kong Restaurant,12287 Capital BLVD ,WAKE FOREST,NC,27587-6200,35.980901,-78.540926,19195569505
-78.643429908156961,35.788061991845069,1125,499104,Finch's Restaurant,401 W PEACE ST ,RALEIGH,NC,27603-1133,35.788055,-78.643427,19198347396
-78.654944007970684,35.901844787853328,1126,499499,Burger King #8672,9504 STRICKLAND RD,RALEIGH,NC,27615-1935,35.901838,-78.654941,19196768121
-78.781720398096212,35.740753635331828,1127,499520,Wake Med Cary Hospital Food Service,1900 KILDAIRE FARM RD ,CARY,NC,27511-6616,35.740747,-78.781718,19193502323
-78.736288502005934,35.75554381524443,1128,499523,Sage Cafe' @Holiday Inn-Cary,5630 DILLARD DR ,CARY,NC,27511-9225,35.755537,-78.736286,19198511220
-78.660327254988232,35.885015768580203,1129,499527,Sawmill Tap Room,7701 LEAD MINE RD,RALEIGH,NC,27615-4829,35.885009,-78.660325,19198457889
-78.601480185529454,35.817835174468414,1130,499539,Sage Cafe,2805 Highwoods Blv ,RALEIGH,NC,27604-1002,35.817828,-78.601478,19198723500
-78.835168138334382,35.656283781575944,1131,499541,Wendy's #2393,325 N MAIN ST,HOLLY SPRINGS,NC,27540-9196,35.656277,-78.835165,19195526492
,,1132,499542,Los Tres Magueyes # 4,12400-101 Wake Union Ch. RD ,WAKE FOREST,NC,27587-4509,,,19195542554
-78.601438514915159,35.851445992613563,1133,499563,Scooters Grill And Bar,1911 Sego Ct,RALEIGH,NC,27616-2967,35.851439,-78.601436,19199542171
-78.814786483933048,35.86344518589317,1134,499619,CAPITAL CITY CHOP HOUSE,151 AIRGATE DR,MORRISVILLE,NC,27560-8495,35.863438,-78.814784,19194847721
-78.582064051784656,35.870055039183541,1135,499702,Ruby Tuesday's ,6201 Capital Blv ,RALEIGH,NC,27616-2945,35.870048,-78.582061,19198769900
-78.703599185767359,35.858607394980559,1136,499712,Kadhai-The Indian Wok,6260 GLENWOOD AVE ,RALEIGH,NC,27612-2650,35.8586,-78.703597,19197859730
-78.715163924125193,35.796354932347398,1137,499719,1853 Grille,1025 BLUE RIDGE RD ,RALEIGH,NC,27607-3902,35.796348,-78.715161,19195242401
-78.644775177979199,35.780064245688529,1138,499745,The Flying Saucer Restaurant,328 W MORGAN ST ,RALEIGH,NC,27601-1369,35.780057,-78.644773,19198217468
-78.877709689788873,35.759656411953387,1139,499757,China Chef Restaurant,1769 W WILLIAMS ST ,APEX,NC,27523-9315,35.759649,-78.877707,19193638885
-78.636253050841916,35.775686820558114,1140,499811,El Rodeo Restaurant,329 S BLOUNT ST,RALEIGH,NC,27601-1803,35.77568,-78.63625,19198290777
-78.59113408579924,35.820423629873339,1141,499814,McDonald's #14342,3026 Capital BLVD ,RALEIGH,NC,27604-3334,35.820417,-78.591131,19198780701
-78.744275782768426,35.75324291372975,1142,499826,BJ's Wholesale Club Fast Food Express,2370 WALNUT ST,CARY,NC,27511-9210,35.753236,-78.744273,19198542777
,,1143,499855,Whole Foods Market Deli-Sushi-Cheese,102 B New Waverly Pl ,CARY,NC,27511,,,19198168830
-78.508169216684337,35.977405836146772,1144,499874,LaForesta Italian Cafe And Pizzeria,203 BROOKS ST,WAKE FOREST,NC,27587-2703,35.977399,-78.508167,19195544555
,,1145,499885,Royal India Restaurant,3901-103 Capital BLVD,RALEIGH,NC,27604-3488,,,19199810849
-78.545251666070371,35.944284812694526,1146,499929,Wendy's #1168180,10901 Forest Pines Dr ,RALEIGH,NC,27614,35.944278,-78.545249,19194880118
,,1147,499941,Bella Monica,3121-103 EDWARDS MILL RD ,RALEIGH,NC,27612-5369,,,19198819778
,,1148,49BAAA6D-3048-94EE-987E0E976E14F47D,TOM YUM THAI,685 CARY TOWN  BLVD ,CARY,NC,27511,,,19194635523
-78.818413123983262,35.858603506485522,1149,49C7C6F3-3048-94EE-989CDD5C607FAAF4,HOLIDAY INN EXPRESS,1014 AIRPORT  BLVD ,MORRISVILLE,NC,27560,35.858596,-78.81841,19196532260
-78.848040644048609,35.792313906982393,1150,4A2F7F4F-F86B-8A34-E0D1192B8D286697,TRIBECA TAVERN,500 LEDGESTONE WAY ,CARY,NC,27519,35.792307,-78.848038,19194653055
-78.6929976296923,35.816777059428141,1151,4A345620-3048-94EE-983DB6D534A04D49,CHUBBY'S TACOS,2444 WYCLIFF  RD ,RALEIGH,NC,27607,35.81677,-78.692995,19197814480
,,1152,4A371FE8-969D-A717-CC4998520E7220DB,TROPICAL SMOOTHIE CAFE,8111-157 CREEDMOOR RD ,RALEIGH,NC,27613,,,19198035991
-78.807040455075182,35.556508960785543,1153,4B61266F-EFE6-F733-7E831252B2FBD611,HIGHGROVE ESTATE,1613  S MAIN ST ,FUQUAY VARINA,NC,27526,35.556502,-78.807038,19195526154
-78.582138227287459,35.850586210413681,1154,4B74B575-B537-DDAF-50BC7C906276C0D6,HIBACHI CHINA BUFFET,2909  E MILLBROOK RD ,RALEIGH,NC,27604,35.850579,-78.582136,19198785688
-78.742313199020813,35.764867418218429,1155,4B908B88-0445-7D17-9B78296DDF7CF9DB,WINGS CAFE,1307  BUCK JONES RD ,RALEIGH,NC,27606,35.76486,-78.742311,111111111919
-78.646663200695741,35.786833016446806,1156,4B91C254-C847-D3D1-13A3F4B2D98D5FC9,DRAFT,510 GLENWOOD AVE ,RALEIGH,NC,27603,35.786826,-78.646661,111111111111111
-78.876523320122828,35.725423556999594,1157,4CBEC424-0E5A-12FB-0D8F2B05AC3D8369,TOWN SIDE CAFE,1500 TOWN SIDE DR ,APEX,NC,27502,35.725417,-78.876521,19192676028
-78.611190871945908,35.843412918187894,1158,4D496EB3-D45F-A0C7-A39432E0CD0C9053,MACHUPICCHU PERUVIAN CUISINE,4500 FALLS OF NEUSE  RD ,RALEIGH,NC,27609,35.843406,-78.611188,19195267378
-78.678203037893411,35.887878772621704,1159,4D68DB90-CAF1-550A-67A870C2258A59C0,SERENA SICILIAN INFLUENCED CUCINA,7456 CREEDMOOR  RD ,RALEIGH,NC,27613,35.887872,-78.6782,19199007685
,,1160,16570520-F839-D5EB-5563BCD25769E0C0,AKARI EXPRESS,2109-118 AVENT-FERRY RD ,RALEIGH,NC,27606,,,19192325380
-78.639908805042907,35.77494186475149,1161,1662904D-DBAF-5847-66A29C9EA3A95E90,SHERATON RALEIGH KITCHEN/JIMMY V'S OSTERIA & BAR,421 S SALISBURY ST ,RALEIGH,NC,27601,35.774935,-78.639906,19198349900
,,1162,17C47290-E28E-E60D-1F80180618D2777F,Test Facility 4,7500 E Independence BLVd,RALEIGH,NC,28277,,,
-78.670123323562407,35.78854968868103,1163,17E3F4BF-A308-8EBB-D544485A641143F3,SAXBYS COFFEE #1081,2604 HILLSBOROUGH ST ,RALEIGH,NC,27607,35.788543,-78.670121,19199770265
-78.615577869235921,35.849790032936653,1164,17F1D385-BE09-6BD0-7A88C1624D7C3ABC,"CRISTO'S NY STYLE PIZZA, LLC",1302 E MILLBROOK RD ,RALEIGH,NC,27609,35.849783,-78.615575,19198726797
-78.705895673509374,35.801356262920159,1165,18458149-7493-BBCB-6A17112888BF6319,THE CAPITAL ROOM,1520 BLUE RIDGE RD,RALEIGH,NC,27607-3906,35.801349,-78.705893,19198324100
-78.678203037893411,35.887878772621704,1166,18AF645A-941C-4CD7-C3469308FC54E0E2,ORCHID JAPANESE RESTAURANT,7432 CREEDMOOR RD ,RALEIGH,NC,27613,35.887872,-78.6782,19198905345
-78.637522531855595,35.836621849062404,1167,18FDD2FC-F987-52A9-22F3F8D75B107E7F,CHUY'S #48,4020 MARKET AT NORTH HILLS  ST ,RALEIGH,NC,27609,35.836615,-78.63752,19195712589
-78.639978184821032,35.773604057986852,1168,1AB3AA49-A640-EBDD-FBF0B2010DDDC52A,RYE BAR & SOUTHERN KITCHEN,500 FAYETTEVILLE ST ,RALEIGH,NC,27601,35.773597,-78.639976,19192273370
-78.637988528444765,35.778550102553005,1169,1CEB4EC7-3048-983B-262BB83F02B8C680,GRAVY,135 S WILMINGTON ST ,RALEIGH,NC,27601,35.778543,-78.637986,19198968513
