OBJECTID,BUSINESS_ID,SCORE,DATE_,DESCRIPTION,TYPE
2238,64288803-C78C-E82B-092815F3F69D401A,96,2015-02-16T00:00:00.000Z,,routine
2239,B47B9238-B403-B126-35B9CBD0309FEE27,96,2015-02-18T00:00:00.000Z,,routine
2240,BF42895E-ABC2-FBDC-59F19E6795E9181E,96,2015-02-20T00:00:00.000Z,,routine
2241,C704C647-13E1-13DB-EB8A160A25CBEB1F,96,2015-02-11T00:00:00.000Z,,routine
2242,EE6E279D-E842-4C0C-2BC29803F85EAD1D,95.5,2015-03-04T00:00:00.000Z,,routine
2243,F9A4E845-1422-201B-19C87A3E830F2A2D,96,2015-02-18T00:00:00.000Z,,routine
2244,495327,95.5,2015-02-26T00:00:00.000Z,,routine
2245,495472,96,2015-02-18T00:00:00.000Z,,routine
2246,499539,96,2015-02-27T00:00:00.000Z,,routine
2247,499752,95.5,2015-02-18T00:00:00.000Z,,routine
2248,501406,96,2015-02-26T00:00:00.000Z,,routine
2249,51580247-0ABA-9730-DDCD2C607547D4D1,96,2015-02-11T00:00:00.000Z,,routine
2250,559EB0CA-1422-201B-194148E8D80DE74B,95.5,2015-03-03T00:00:00.000Z,,routine
2251,812578E2-13D4-D73C-EC0E12792E47A294,96,2015-02-20T00:00:00.000Z,,routine
2252,8BC82CCD-ACAF-D6D8-D5BAF1627B2E4045,96,2015-01-20T00:00:00.000Z,,routine
2253,9576D3FC-081D-E367-41C717753D699C44,95.5,2015-02-12T00:00:00.000Z,,routine
2254,A93E3218-C3DA-C421-1261E6644D1AD6EA,96,2015-02-26T00:00:00.000Z,,routine
2255,0B61CA48-DE79-9641-365232D17ECEDF22,97,2015-02-12T00:00:00.000Z,,routine
2256,14C89F67-C5DF-5132-5AEF1F436C0719AB,97,2015-02-27T00:00:00.000Z,,routine
2257,14CBC44D-9F9B-44F6-60B67153D1402FAA,97,2015-02-25T00:00:00.000Z,,routine
2258,17A5DDB7-3048-9838-606F8EAF41749C7B,96.5,2015-02-19T00:00:00.000Z,,routine
2259,1885C346-A6DC-38FC-60AAD7D679DAE4B9,96.5,2015-02-12T00:00:00.000Z,,routine
2260,18FDD2FC-F987-52A9-22F3F8D75B107E7F,96.5,2015-02-18T00:00:00.000Z,,routine
2261,280195C7-A063-2187-49524CC5A1B8712D,97,2015-01-20T00:00:00.000Z,,routine
2262,2C5EC185-B621-0408-24D9BAE0300D27D8,96.5,2015-02-12T00:00:00.000Z,,routine
2263,2CB89E90-FEED-16D3-A5D35F8D758D4D8E,97,2015-02-24T00:00:00.000Z,,routine
2264,494865,96.5,2015-02-25T00:00:00.000Z,,routine
2265,495259,96.5,2015-02-24T00:00:00.000Z,,routine
2266,496895,96.5,2015-03-03T00:00:00.000Z,,routine
2267,497067,97,2015-03-06T00:00:00.000Z,,routine
2268,497221,96.5,2015-02-20T00:00:00.000Z,,routine
2269,497261,96.5,2015-02-27T00:00:00.000Z,,routine
2270,497948,97,2015-02-19T00:00:00.000Z,,routine
2271,498181,96.5,2015-02-09T00:00:00.000Z,,routine
2272,498234,97,2015-02-23T00:00:00.000Z,,routine
2273,498723,97,2015-02-16T00:00:00.000Z,,routine
2274,498735,96.5,2015-02-13T00:00:00.000Z,,routine
2275,499487,97,2015-02-10T00:00:00.000Z,,routine
2276,4EC409C2-0297-1C1F-EB18BA9EDC0E5037,96.5,2015-03-03T00:00:00.000Z,,routine
2277,501020,96.5,2015-01-20T00:00:00.000Z,,routine
2278,501350,96.5,2015-02-12T00:00:00.000Z,,routine
2279,501573,96.5,2015-01-16T00:00:00.000Z,,routine
2280,503749,96.5,2015-02-19T00:00:00.000Z,,routine
2281,503824,96.5,2015-02-27T00:00:00.000Z,,routine
2282,503BEC02-AF04-1EDC-E8D857D31491AD5B,97,2015-02-25T00:00:00.000Z,,routine
2283,504242,97,2015-02-18T00:00:00.000Z,,routine
2284,5CAE0190-A79F-C324-73BAE0DA4AE50868,97,2015-02-20T00:00:00.000Z,,routine
2285,61233C30-94C0-28F8-B49B58460C1E68E0,96.5,2015-03-02T00:00:00.000Z,,followup
2286,636CA54D-1422-201B-19E76B3D974EEB11,97,2015-02-24T00:00:00.000Z,,routine
2287,6B31C364-E2EB-E795-1271A3B9C5B8072E,96.5,2015-01-12T00:00:00.000Z,,routine
2288,6FBF3E2D-E282-AF1F-CA34B158559FAC34,96.5,2015-02-16T00:00:00.000Z,,routine
2289,75B43045-B9D3-61CA-E0BB8A5AA2CC5246,96.5,2015-02-25T00:00:00.000Z,,routine
2290,A4F602AD-C88A-D128-EF3D73F76A6D90FE,96.5,2015-01-20T00:00:00.000Z,,routine
2291,A62761F8-13CA-1234-00FAE7F8BC690668,97,2015-02-13T00:00:00.000Z,,routine
2292,A775CE61-0CFB-D44A-E802CD7A730F9989,97,2015-02-12T00:00:00.000Z,,routine
2293,C03F831F-BEB3-8F19-FB13143FE72C7271,96.5,2015-03-02T00:00:00.000Z,,routine
2294,E811B72A-3048-98E5-1AD09DCBAC450B32,97,2015-02-23T00:00:00.000Z,,routine
2295,EB1DFC4A-C55F-4C5E-3522672C8188CF92,97,2015-01-27T00:00:00.000Z,,routine
2296,F0BDB217-906B-1323-23B5145919FEAC74,97,2015-03-02T00:00:00.000Z,,routine
2297,495196,97.5,2015-01-21T00:00:00.000Z,,routine
2298,503992,97.5,2015-02-13T00:00:00.000Z,,routine
2299,777AAECB-A9EF-B557-3E47BE92C668FEC7,97.5,2015-02-11T00:00:00.000Z,,routine
2300,A612BE95-D938-A184-A73DE81B21E37721,97.5,2015-02-25T00:00:00.000Z,,routine
2301,DB81D09A-698E-EC67-9F24B4AB50106724,97.5,2015-02-25T00:00:00.000Z,,routine
2302,EB1CA353-AAB6-C196-096CF82293D1FE51,97.5,2015-02-27T00:00:00.000Z,,routine
2303,500170,97.5,2015-01-21T00:00:00.000Z,,routine
2304,17F1D385-BE09-6BD0-7A88C1624D7C3ABC,97.5,2015-03-02T00:00:00.000Z,,routine
2305,3B7059B2-9EC2-DF5B-7834A1C6E90AAA46,97.5,2015-02-27T00:00:00.000Z,,routine
